Date,Open,High,Low,Close,Adj Close,Volume
2021-07-26,14821.03027,14863.65039,14790.49023,14840.70996,14840.70996,4409960000
2021-07-27,14807.9502,14811.08008,14503.75977,14660.58008,14660.58008,4300000000
2021-07-28,14715.66016,14798.87988,14645.62988,14762.58008,14762.58008,4235390000
2021-07-29,14771.16992,14833.74023,14761.37988,14778.25977,14778.25977,3904590000
2021-07-30,14615.84961,14728.78027,14615.84961,14672.67969,14672.67969,3628750000
2021-08-02,14758.59961,14770.41016,14665.66992,14681.07031,14681.07031,3738200000
2021-08-03,14713.99023,14762.59961,14584.08984,14761.29004,14761.29004,4117520000
2021-08-04,14747.20996,14812.37012,14734.12012,14780.53027,14780.53027,4319400000
2021-08-05,14794.08008,14896.46973,14776.03027,14895.12012,14895.12012,4087320000
2021-08-06,14864.21973,14890.17969,14788.58984,14835.75977,14835.75977,4159050000
2021-08-09,14855.75977,14883.80957,14802.69043,14860.17969,14860.17969,4095760000
2021-08-10,14887.75,14894.61035,14754.48047,14788.08984,14788.08984,3978790000
2021-08-11,14834.37988,14842.5,14692.41016,14765.13965,14765.13965,3980530000
2021-08-12,14751.36035,14824.30957,14698.94043,14816.25977,14816.25977,4020260000
2021-08-13,14825.07031,14850.61035,14797.21973,14822.90039,14822.90039,4038130000
2021-08-16,14771.53027,14794.67969,14610.01953,14793.75977,14793.75977,3953840000
2021-08-17,14670.55957,14716.9502,14550.87988,14656.17969,14656.17969,4151190000
2021-08-18,14636.24023,14697.25,14516.29981,14525.91016,14525.91016,3814120000
2021-08-19,14423.16016,14610.75977,14423.16016,14541.79004,14541.79004,4172870000
2021-08-20,14571.53027,14722.16016,14571.53027,14714.66016,14714.66016,3864780000
2021-08-23,14776.98047,14963.46973,14776.98047,14942.65039,14942.65039,3893990000
2021-08-24,14978.13965,15034.88965,14965.54004,15019.79981,15019.79981,3792870000
2021-08-25,15039.03027,15059.42969,15011.58008,15041.86035,15041.86035,3629990000
2021-08-26,15025.16992,15059.62988,14939.55957,14945.80957,14945.80957,3610970000
2021-08-27,14969.76953,15144.48047,14966.51953,15129.5,15129.5,4006310000
2021-08-30,15165.94043,15288.08008,15165.12012,15265.88965,15265.88965,4034110000
2021-08-31,15262.87988,15278.95996,15202.66992,15259.24023,15259.24023,4170170000
2021-09-01,15308.98047,15379.5,15302.11035,15309.37988,15309.37988,4248030000
2021-09-02,15358.46973,15380.07031,15285.34961,15331.17969,15331.17969,4018120000
2021-09-03,15313.41016,15375.55957,15283.66992,15363.51953,15363.51953,3692170000
2021-09-07,15375.98047,15403.44043,15343.28027,15374.33008,15374.33008,3967040000
2021-09-08,15360.34961,15360.34961,15206.61035,15286.63965,15286.63965,4113530000
2021-09-09,15296.05957,15352.37988,15245.16992,15248.25,15248.25,3997250000
2021-09-10,15332.91992,15349.46973,15111.30957,15115.49023,15115.49023,4567980000
2021-09-13,15211.42969,15215.44043,15030.84961,15105.58008,15105.58008,4701190000
2021-09-14,15168.4502,15181.19043,15008.29981,15037.75977,15037.75977,4571950000
2021-09-15,15071.33984,15174.37988,14984.67969,15161.53027,15161.53027,4446270000
2021-09-16,15120.08984,15205.5,15047.13965,15181.91992,15181.91992,3681700000
2021-09-17,15163.36035,15166.55957,14998.73047,15043.96973,15043.96973,6682650000
2021-09-20,14758.13965,14841.82031,14530.07031,14713.90039,14713.90039,4860630000
2021-09-21,14803.36035,14847.03027,14696.46973,14746.40039,14746.40039,4056340000
2021-09-22,14800.58984,14950.12012,14767.00977,14896.84961,14896.84961,4229870000
2021-09-23,14960,15085.44043,14932.50977,15052.24023,15052.24023,4176520000
2021-09-24,14961.61035,15067.55957,14946.57031,15047.7002,15047.7002,3972140000
2021-09-27,14954.17969,15003.16016,14864.95996,14969.96973,14969.96973,4619450000
2021-09-28,14787.20996,14817.74023,14539.87988,14546.67969,14546.67969,4954270000
2021-09-29,14614.87988,14676.62012,14493.66992,14512.44043,14512.44043,5246170000
2021-09-30,14582.59961,14632.36035,14444.29981,14448.58008,14448.58008,5910550000
2021-10-01,14494.92969,14606.82031,14324.00977,14566.7002,14566.7002,4688550000
2021-10-04,14493.12012,14499.74023,14181.69043,14255.48047,14255.48047,4539650000
2021-10-05,14312.86035,14508.65039,14299.78027,14433.83008,14433.83008,4143190000
2021-10-06,14289.4502,14509.54981,14259.07031,14501.91016,14501.91016,4443760000
2021-10-07,14631.79981,14755.71973,14615.13965,14654.01953,14654.01953,3936210000
2021-10-08,14694.71973,14699.91016,14569.67969,14579.54004,14579.54004,3557630000
2021-10-11,14540.08008,14665.99023,14482.62012,14486.2002,14486.2002,3522230000
2021-10-12,14539.08984,14552.70996,14441.59961,14465.91992,14465.91992,4037030000
2021-10-13,14537.16992,14589.28027,14471.87988,14571.63965,14571.63965,4032440000
2021-10-14,14717.5,14827.55957,14699.51953,14823.42969,14823.42969,4240520000
2021-10-15,14891.24023,14904.98047,14847.95996,14897.33984,14897.33984,4473930000
2021-10-18,14839.74023,15026.67969,14833.28027,15021.80957,15021.80957,4142540000
2021-10-19,15073.12988,15137.84961,15049.73047,15129.08984,15129.08984,4443000000
2021-10-20,15160,15178.38965,15071.15039,15121.67969,15121.67969,4086590000
2021-10-21,15104.79981,15222.25,15094.13965,15215.7002,15215.7002,4880390000
2021-10-22,15158.07031,15193.00977,15021.01953,15090.2002,15090.2002,5719760000
2021-10-25,15142.91992,15259.62988,15070.75,15226.70996,15226.70996,5677320000
2021-10-26,15317.5,15384,15198.23047,15235.70996,15235.70996,7035470000
2021-10-27,15276,15364.54004,15235.83984,15235.83984,15235.83984,6083210000
2021-10-28,15304.74023,15452.29981,15290.30957,15448.12012,15448.12012,5660240000
2021-10-29,15323.29004,15504.12012,15323.29004,15498.38965,15498.38965,5310370000
2021-11-01,15541.25977,15598.9502,15470.82031,15595.91992,15595.91992,5239250000
2021-11-02,15583.98047,15656.59961,15569.26953,15649.59961,15649.59961,5118540000
2021-11-03,15658.51953,15821.57031,15616.44043,15811.58008,15811.58008,5274520000
2021-11-04,15849.74023,15966.08984,15827.66016,15940.30957,15940.30957,5252570000
2021-11-05,16003.55957,16053.38965,15900.78027,15971.58984,15971.58984,5534130000
2021-11-08,15995.71973,16038.23047,15961.80957,15982.36035,15982.36035,5620280000
2021-11-09,16024.12988,16035.20996,15836.67969,15886.54004,15886.54004,5531330000
2021-11-10,15753.83984,15867.24023,15543.67969,15622.70996,15622.70996,5336480000
2021-11-11,15752.08008,15768.03027,15695.76953,15704.28027,15704.28027,4520600000
2021-11-12,15752.62012,15874.57031,15705.37988,15860.95996,15860.95996,5412870000
2021-11-15,15894.82031,15918.4502,15778.30957,15853.84961,15853.84961,4978040000
2021-11-16,15840.32031,15989.61035,15825,15973.86035,15973.86035,5441150000
2021-11-17,15973.62012,15998.57031,15909.38965,15921.57031,15921.57031,5024540000
2021-11-18,15973.38965,16010.87988,15848.83008,15993.70996,15993.70996,5361690000
2021-11-19,16042.16016,16121.12012,16017.23047,16057.44043,16057.44043,4849160000
2021-11-22,16120.91992,16212.23047,15851.04004,15854.75977,15854.75977,5531070000
2021-11-23,15809.5,15895.86035,15601.45996,15775.13965,15775.13965,5412610000
2021-11-24,15677.87988,15848.55957,15591.36035,15845.23047,15845.23047,4178630000
2021-11-26,15664.37988,15731.54004,15456.08984,15491.66016,15491.66016,3502030000
2021-11-29,15719.41992,15833.11035,15644.61035,15782.83008,15782.83008,4800570000
2021-11-30,15716.5,15828.2002,15451.38965,15537.69043,15537.69043,6609380000
2021-12-01,15752.26953,15816.82031,15243.92969,15254.04981,15254.04981,6266020000
2021-12-02,15181.82031,15444.54004,15150.12012,15381.32031,15381.32031,5390100000
2021-12-03,15428.70996,15470.36035,14931.05957,15085.46973,15085.46973,5859520000
