Date,Open,High,Low,Close,Adj Close,Volume
2021-07-26,7.900000,7.988000,7.080000,7.120000,7.120000,530000
2021-07-27,7.090000,8.280000,7.090000,7.860000,7.860000,757600
2021-07-28,7.820000,7.980000,7.520000,7.790000,7.790000,198200
2021-07-29,7.760000,7.890000,7.601000,7.670000,7.670000,157300
2021-07-30,7.610000,7.890000,7.410000,7.880000,7.880000,145300
2021-08-02,7.590000,8.030000,7.590000,7.790000,7.790000,283500
2021-08-03,7.850000,7.950000,7.689000,7.850000,7.850000,129400
2021-08-04,7.790000,8.250000,7.790000,7.950000,7.950000,238500
2021-08-05,8.040000,8.170000,7.680000,7.930000,7.930000,189000
2021-08-06,7.910000,8.300000,7.900000,8.250000,8.250000,260800
2021-08-09,8.340000,8.720000,8.250000,8.590000,8.590000,318200
2021-08-10,8.210000,8.600000,7.750000,8.200000,8.200000,367200
2021-08-11,7.880000,8.340000,7.520000,8.260000,8.260000,320000
2021-08-12,8.310000,8.330000,7.960000,8.000000,8.000000,150100
2021-08-13,8.000000,8.060000,7.710000,7.820000,7.820000,225600
2021-08-16,7.790000,7.945000,7.520000,7.860000,7.860000,199600
2021-08-17,7.820000,7.850000,7.460000,7.580000,7.580000,203400
2021-08-18,8.150000,8.950000,8.050000,8.610000,8.610000,1080900
2021-08-19,8.420000,9.416000,8.400000,9.230000,9.230000,633200
2021-08-20,9.200000,9.470000,8.690000,8.750000,8.750000,412300
2021-08-23,8.880000,9.590000,8.880000,9.470000,9.470000,400800
2021-08-24,9.650000,9.672000,9.020000,9.540000,9.540000,333600
2021-08-25,9.420000,10.730000,9.170000,10.300000,10.300000,782300
2021-08-26,10.600000,11.900000,10.270000,10.920000,10.920000,1558900
2021-08-27,10.900000,11.393000,10.530000,11.390000,11.390000,791400
2021-08-30,11.750000,11.851000,10.650000,11.290000,11.290000,601400
2021-08-31,11.200000,11.371000,10.880000,11.000000,11.000000,296200
2021-09-01,10.940000,11.020000,10.310000,10.680000,10.680000,436500
2021-09-02,10.690000,10.870000,10.130000,10.270000,10.270000,502000
2021-09-03,10.260000,10.475000,9.770000,10.370000,10.370000,409800
2021-09-07,10.230000,10.880000,10.204000,10.560000,10.560000,440500
2021-09-08,10.590000,11.480000,10.320000,11.350000,11.350000,662700
2021-09-09,11.170000,11.549000,10.821000,11.040000,11.040000,614400
2021-09-10,11.050000,11.130000,10.250000,10.640000,10.640000,619400
2021-09-13,10.730000,10.877000,10.320000,10.330000,10.330000,245100
2021-09-14,10.310000,11.175000,10.210000,10.680000,10.680000,498800
2021-09-15,10.590000,11.590000,10.500000,11.340000,11.340000,471200
2021-09-16,11.560000,12.640000,11.410000,12.030000,12.030000,1321300
2021-09-17,12.100000,12.240000,11.230000,11.610000,11.610000,688300
2021-09-20,11.440000,11.885000,11.110000,11.730000,11.730000,598700
2021-09-21,11.950000,12.874000,11.800000,12.540000,12.540000,841200
2021-09-22,12.360000,12.530000,11.600000,12.100000,12.100000,635400
2021-09-23,12.090000,12.550000,11.800000,12.340000,12.340000,351600
2021-09-24,12.130000,12.278000,11.900000,12.090000,12.090000,373900
2021-09-27,12.000000,12.190000,11.576000,11.640000,11.640000,366100
2021-09-28,11.500000,11.880000,11.336000,11.420000,11.420000,240700
2021-09-29,11.420000,11.810000,10.760000,10.770000,10.770000,531400
2021-09-30,10.860000,11.235000,10.750000,11.120000,11.120000,239400
2021-10-01,11.020000,11.190000,10.514000,10.610000,10.610000,512700
2021-10-04,10.480000,10.770000,10.020000,10.330000,10.330000,593000
2021-10-05,10.330000,10.560000,10.140000,10.390000,10.390000,259300
2021-10-06,10.260000,10.381000,10.165000,10.320000,10.320000,113200
2021-10-07,10.340000,10.945000,10.288000,10.650000,10.650000,415100
2021-10-08,10.700000,11.350000,10.700000,11.210000,11.210000,449600
2021-10-11,11.200000,11.414000,10.900000,11.010000,11.010000,238200
